,Title,Memorandum For,Subject,Categories,Subjects,Administration,Date,Date Filed,CPD Number
374,Memorandum on Establishment of the Interagency Commission on Crime and ,"Memorandum for the Vice President, the Secretary of State, the Secretary of the Treasury, the Secretary of Defense, the Attorney General, the Secretary of Agriculture, the Secretary of Commerce, the Secretary of Labor, the Secretary of Health and Human Services, the Secretary of Transportation, Administrator of the Environmental Protection Agency, Director of the Office of Management and Budget, United States Trade Representative, Director of National Drug Control Policy, Chief of Staff to the President, Director of Central Intelligence, Assistant to the President for National Security Affairs, Chairman of the Joint Chiefs of Staff",Establishment of the Interagency Commission on Crime and Security in U.S. Seaports,,,William J. Clinton,"April 27, 1999",,19990503
375,Memorandum on Assistance to Refugees Fleeing Kosovo,Memorandum for the Secretary of State,"Determination Pursuant to Section 2(c)(1) of the Migration and Refugee Assistance Act of 1962, as Amended",,,William J. Clinton,"April 29, 1999",,19990503
376,Memorandum on Emergency Refugee Admissions Consultations Relating to ,Memorandum for the Secretary of State,FY 1999 Emergency Refugee Admissions Consultations Relating to Kosovars,,,William J. Clinton,"April 30, 1999",,19990503
377,Memorandum on Assistance for Federal Employees Affected by the Tornadoes ,Memorandum for the Heads of Executive Departments and Agencies,Assistance for Federal Employees Affected by the Tornadoes in Oklahoma and Kansas,,,William J. Clinton,"May 6, 1999",,19990510
378,Memorandum on the Report to Congress Regarding Conditions in Burma and ,Memorandum for the Secretary of State,Report to the Congress Regarding Conditions in Burma and U.S. Policy Toward Burma,,,William J. Clinton,"May 12, 1999",,19990517
379,Memorandum on the Combined Federal Campaign of the National Capital Area,Memorandum for Heads of Executive Departments and Agencies,,,,William J. Clinton,"May 12, 1999",,19990517
380,Memorandum on Assistance for Kosovar Refugees,Memorandum for the Secretary of State,"Determination Pursuant to Section 2(c)(1) of the Migration and Refugee Assistance Act of 1962, as Amended",,,William J. Clinton,"May 18, 1999",,19990524
381,Memorandum on the Korean Energy Development Organization,Memorandum for the Secretary of State,"U.S. Contribution to KEDO: Certification Under Section 582(c) of the Foreign Operations, Export Financing, and Related Programs Appropriations Act, 1999, as enacted in Public Law 105-277",,,William J. Clinton,"May 18, 1999",,19990524
382,Memorandum on Assessment of Space Launch Vehicles,Memorandum for the Secretary of Defense,Assessment of Space Launch Vehicles,,,William J. Clinton,"May 19, 1999",,19990524
383,Memorandum on the Palestine Liberation Organization,Memorandum for the Secretary of State,Waiver and Certification of Statutory Provisions Regarding the Palestine Liberation Organization,,,William J. Clinton,"May 24, 1999",,19990531
384,Memorandum on New Tools To Help Parents Balance Work and Family,Memorandum for the Heads of Executive Departments and Agencies,New Tools to Help Parents Balance Work and Family,,,William J. Clinton,"May 24, 1999",,19990531
385,Memorandum on Funding for the United Nations Development Fund,Memorandum for the Secretary of State,"Delegation of Authority Under Section 2106 of the Foreign Affairs Reform and Restructuring Act of 1998, as contained in the Omnibus Consolidated and Emergency Supplemental Appropriations Act, 1999 (Public Law 105-277)",,,William J. Clinton,"May 26, 1999",,19990531
386,Memorandum on Clean Water Protection,"Memorandum for the Secretary of the Interior, the Secretary of Agriculture, the Administrator of the Environmental Protection Agency",Clean Water Protection,,,William J. Clinton,"May 29, 1999",,19990607
387,Memorandum on the Extension of Normal Trade Relations Status With ,Memorandum for the Secretary of State,"Determination Under Subsection 402(d)(1) of the Trade Act of 1974, as Amended--Continuation of Waiver Authority",,,William J. Clinton,"June 3, 1999",,19990607
388,Memorandum on the Extension of Normal Trade Relations Status With ,Memorandum for the Secretary of State,"Determination Under Subsection 402(d)(1) of the Trade Act of 1974, as Amended--Continuation of Waiver Authority",,,William J. Clinton,"June 3, 1999",,19990607
389,Memorandum on the Extension of Normal Trade Relations Status ,Memorandum for the Secretary of State,"Determination Under Subsection 402(d)(1) of the Trade Act of 1974, as Amended--Continuation of Waiver Authority",,,William J. Clinton,"June 3, 1999",,19990607
390,Memorandum on Fairness in Law Enforcement,"Memorandum for the Secretary of the Treasury, the Attorney General, the Secretary of the Interior",Fairness in Law Enforcement: Collection of Data,,,William J. Clinton,"June 9, 1999",,19990614
391,Memorandum on Reports to the Congress on the Convention on Combating ,Memorandum for the Secretary of State,Delegation of Responsibility Under the Senate Resolution of Advice and Consent to Ratification of the Convention on Combating Bribery of Foreign Public Officials in International Business Transactions,,,William J. Clinton,"June 10, 1999",,19990614
392,Memorandum on Strengthening Our Commitment to Service Through Voluntary ,Memorandum for the Heads of Executive Departments and Agencies,Strengthening Our Commitment to Service Through Voluntary Opportunities,,,William J. Clinton,"June 17, 1999",,19990621
393,Memorandum on Suspension of Limitation Under the Jerusalem Embassy Act,Memorandum for the Secretary of State,Suspension of Limitation Under the Jerusalem Embassy Act,,,William J. Clinton,"June 17, 1999",,19990621
394,Memorandum on a Protocol to the Canada-United States Atomic Energy ,"Memorandum for the Secretary of State, the Secretary of Energy",Presidential Determination on the Proposed Protocol Amending the Agreement for Cooperation Concerning Civil Uses of Atomic Energy Between the Government of the United States of America and the Government of Canada,,,William J. Clinton,"June 23, 1999",,19990628
395,Memorandum on the Organization for Security and Cooperation in Europe,Memorandum for the Secretary of State,Eligibility of the Organization for Security and Cooperation in Europe to be Furnished Defense Articles and Services Under the Foreign Assistance Act and the Arms Export Control Act,,,William J. Clinton,"June 30, 1999",,19990705
396,Memorandum on a Military Drawdown for Tunisia,"Memorandum for the Secretary of State, the Secretary of Defense",,,,William J. Clinton,"July 1, 1999",,19990705
397,Memorandum on the Federal Worker 2000 Presidential Initiative,Memorandum for the Heads of Executive Departments and Agencies,Federal Worker 2000 Presidential Initiative,,,William J. Clinton,"July 2, 1999",,19990712
398,Memorandum on the Safety of Imported Foods,"Memorandum for the Secretary of Health and Human Services, the Secretary of the Treasury",Safety of Imported Foods,,,William J. Clinton,"July 3, 1999",,19990712
399,Memorandum on Imports of Lamb Meat,"Memorandum for the Secretary of the Treasury, the Secretary of Agriculture, the United States Trade Representative, the Director of the Office of Management and Budget, the Director of the National Economic Council",Action Under Section 203 of the Trade Act of 1974 Concerning Lamb Meat,,,William J. Clinton,"July 7, 1999",,19990712
400,Memorandum on Occupational Illness Compensation for Energy Contractor ,"Memorandum for the Secretary of Defense, the Attorney General, the Secretary of Labor, the Secretary of Energy, the Director of the Office of Management and Budget, Assistant to the President for Economic Policy",Occupational Illness Compensation for Energy Contractor Personnel,,,William J. Clinton,"July 15, 1999",,19990719
401,Memorandum on Delegation of Authority,Memorandum for the Secretary of Defense,Delegation of Authority Under Section 1304(b)(2) of the Strom Thurmond National Defense Authorization Act for Fiscal Year 1999,,,William J. Clinton,"July 16, 1999",,19990726
402,Memorandum on the Ninth Quadrennial Review of Military Compensation,Memorandum for the Secretary of Defense,Ninth Quadrennial Review of Military Compensation,,,William J. Clinton,"July 20, 1999",,19990726
403,Memorandum on the Year 2000 Computer Problem,Memorandum for Members of the Cabinet,,,,William J. Clinton,"August 4, 1999",,19990809
404,Memorandum on the Interagency Group on Insular Areas,Memorandum for the Heads of Executive Departments and Agencies,Interagency Group on Insular Areas,,,William J. Clinton,"August 9, 1999",,19990816
405,Memorandum on Biobased Products and Bioenergy,"Memorandum for the Secretary of Agriculture, the Secretary of Energy, the Secretary of the Treasury, the Administrator of the Environmental Protection Agency",Biobased Products and Bioenergy,,,William J. Clinton,"August 12, 1999",,19990816
406,Memorandum on FY 2000 Refugee Admissions Consultations,Memorandum for the Secretary of State,FY 2000 Refugee Admissions Consultations,,,William J. Clinton,"August 12, 1999",,19990816
407,Memorandum on Additional Refugee Admissions,Memorandum for the Secretary of State,Emergency Presidential Determination on Additional FY 99 Refugee Admissions Numbers Pursuant to Section 207(b) of the Immigration and Nationality Act,,,William J. Clinton,"August 12, 1999",,19990823
408,Memorandum on Military Assistance to the Economic Community of West ,"Memorandum for the Secretary of State, the Secretary of Defense","Determination to Authorize the Furnishing of Nonlethal Emergency Military Assistance to the States Participating in the Economic Community of West African States' Monitoring Group (ECOMOG) Under Section 506(a)(1) of the Foreign Assistance Act of 1961, as Amended",,,William J. Clinton,"August 13, 1999",,19990823
409,Memorandum Authorizing Support for United Nations War Crimes Tribunal Established With Regard to the Former Yugoslavia,"Memorandum for the Secretary of State, the Secretary of Defense",Determination to Authorize the Furnishing of Commodities and Services for the United Nations War Crimes Tribunal Established with Regard to the Former Yugoslavia,,,William J. Clinton,"August 17, 1999",,19990823
410,Memorandum on Delegation of Responsibilities Under the International ,Memorandum for the Secretary of State,Delegation of Responsibilities Under the International Religious Freedom Act of 1998,,,William J. Clinton,"August 17, 1999",,19990823
411,Memorandum on Continuation of the Exercise of Certain Authorities Under ,"Memorandum for the Secretary of State, the Secretary of the Treasury",Presidential Determination on Continuation of the Exercise of Certain Authorities Under the Trading With the Enemy Act,,,William J. Clinton,"September 10, 1999",,19990913
